1025,79567,1.93127073177425E-005
1026,1522,3.69423762836403E-007
1027,2425,5.88602250248539E-007
1030,2098,5.0923196743152E-007
1031,5262,1.27720620239497E-006
1032,2278,5.52922031367494E-007
1033,1927,4.67726406692344E-007
1034,13526978,0.003283303
1035,141069,3.42406312743551E-005
1036,15682,3.80637545913303E-006
1037,33207,8.06008862845494E-006
1038,2586233,0.0006277371
1039,892323,0.0002165869
1040,26969,0.000006546
1041,21247,5.15712660248689E-006
1042,654,1.58740565634039E-007
1043,1402,3.40297053545753E-007
1044,60910,1.47842321907788E-005
1049,800,1.94178061937662E-007
1050,125529,3.0468722421216E-005
1051,3245,7.87634763734643E-007
1052,1174590,0.0002850995
1053,4650744,0.0011288406
1054,6852468,0.0016632487
1077,167,4.0534670429487E-008
1078,273,6.62632636362273E-008
1079,2001920,0.0004859112
1080,9754240,0.0023675743
1081,21276656,0.0051643248
1083,1237068,0.0003002643
1084,2127200,0.0005163195
1085,8654596,0.0021006658
1086,11738614,0.0028492266
1087,8691264,0.002109566
1088,1962513,0.0004763462
1090,435392,0.0001056795
1091,876576,0.0002127648
1092,187977,4.56262619360699E-005
1093,4381947,0.0010635975
1094,20636951,0.0050090539
1095,3444676,0.0008361006
1096,1222370,0.0002966968
1097,11300,2.74276512486948E-006
1101,24640699,0.005980854
1102,1329307,0.0003226528
1103,12228,0.000002968
1104,39227,9.52127854453585E-006
1105,77107,1.87156097772842E-005
1110,1315966,0.0003194147
1112,941641,0.0002285575
1113,9179296,0.0022280224
1114,3578650,0.0008686192
1116,685224,0.0001663193
1117,496630,0.0001205433
1118,39603371,0.0096126323
1119,61441348,0.0149132023
1120,200403544,0.0486424647
1121,1826771,0.0004433986
1129,3883042,0.000942502
1130,1246988,0.0003026721
1131,16996120,0.0041253421
1133,7854332,0.0019064237
1134,36867046,0.0089484644
1135,16466715,0.0039968435
1136,2306138,0.0005597518
1137,2024875,0.0004914829
1138,79683,1.93408631367234E-005
1140,21228970,0.0051527503
1144,1355345,0.0003289728
1150,6283242,0.0015250847
1151,1687862,0.0004096822
1152,178341,4.32873871800308E-005
1153,1414484,0.0003433272
1154,426287,0.0001034695
1156,62321701,0.0151268839
1157,95544903,0.0231909051
1158,74816815,0.0181597302
1159,4865103,0.0011808703
1160,34259659,0.0083155927
1161,201303004,0.048860784
1162,7898078,0.0019170418
1163,16303559,0.0039572419
1164,5384230,0.0013068742
1182,259,6.28651475523182E-008
1183,2904,7.04866364833714E-007
1188,3071,7.45401035263201E-007
1189,1062048,0.000257783
1191,89856,2.18100799168382E-005
1192,4070,9.87880890107857E-007
1193,771,1.87139107192422E-007
1194,334,8.1069340858974E-008
1195,57,1.38351869130584E-008
1196,566,1.37380978820896E-007
1197,52396384,0.0127177854
1198,16899594,0.004101913
1199,9257289,0.002246953
1200,36224884,0.0087925972
1201,156508,0.000037988
1202,160,3.88356123875325E-008
1203,6501766,0.0015781254
1204,12282144,0.0029811536
1205,126294751,0.0306545875
1209,4972966,0.0012070511
1210,3700554,0.000898208
1211,3260491,0.0007913948
1213,2105820,0.0005111301
1214,443054,0.0001075392
1215,282024,6.84535921748841E-005
1220,70641906,0.0171463855
1221,81848439,0.0198664641
1222,430165999,0.104411
1223,72869574,0.0176870908
1224,87521536,0.0212434528
1225,86633361,0.0210278727
1226,88069230,0.0213763905
1227,11562108,0.0028063847
1228,6795274,0.0016493664
1229,47906608,0.0116280154
1230,48242311,0.0117094981
1231,206709381,0.0501730337
1232,396545882,0.0962506385
1233,35537615,0.0086257815
1234,59320077,0.014398322
1235,173653261,0.0421495671
1237,10961594,0.0026606263
1238,814303743,0.1976499033
1239,7421400,0.0018013413
1241,42,1.01943482517273E-008
16384,385,9.34481923075E-008
16385,188,4.56318445553507E-008
16386,596,1.44662656143558E-007
16387,320,7.76712247750649E-008
16388,332,8.05838957041299E-008
16389,1174,0.000000285
16390,3027,7.3472124185663E-007
16391,342,0.000000083
